"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2018-04-16","Withdrawal",400,"posted","","",false,,"internal transfer","Apple Cash",,,
"2018-04-16","Transfer",-400,"posted","","",false,,"internal transfer","Apple Cash",,,
"2020-12-26","Apple Store",131.1,"posted","Shops","Shopping",false,,"regular","Apple Card",,,
"2020-12-27","Deposit",-3.93,"posted","","",false,,"income","Apple Cash",,,
"2020-12-27","Deposit",-5.97,"posted","","",false,,"income","Apple Cash",,,
"2020-12-27","Deposit",-32.97,"posted","","",false,,"internal transfer","Apple Cash",,,
"2020-12-30","Central Co-op",45.28,"posted","Groceries","",false,,"regular","Apple Card",,,
"2020-12-30","Bill Payment",-131.1,"posted","","",false,,"internal transfer","Apple Card",,,
"2020-12-30","7-eleven",23.14,"posted","Car","Car & Transport",false,,"regular","Apple Card",,,
"2020-12-31","Deposit",-0.46,"posted","","",false,,"income","Apple Cash",,,
"2020-12-31","Deposit",-0.91,"posted","","",false,,"income","Apple Cash",,,
"2020-12-31","Apple Online Store",54.08,"posted","Digital Purchase","",false,,"regular","Apple Card",,,
"2021-01-04","Apple",0,"pending","Digital Purchase","",false,,"regular","Apple Card",,,
"2021-01-04","7-eleven",23.14,"posted","Car","Car & Transport",false,,"regular","Apple Card",,,
"2021-01-05","Deposit",-0.46,"posted","","",false,,"income","Apple Cash",,,
"2021-01-05","Walgreens",4.11,"posted","Other","",false,,"regular","Apple Card",,,
"2021-01-06","Deposit",-0.12,"posted","","",false,,"income","Apple Cash",,,
"2021-01-07","7-eleven",33.43,"posted","Car","Car & Transport",false,,"regular","Apple Card",,,
"2021-01-07","7-eleven",32.55,"posted","Car","Car & Transport",false,,"regular","Apple Card",,,
"2021-01-07","Bill Payment",-149.75,"posted","","",false,,"internal transfer","Apple Card",,,
"2021-01-07","Apple",16.5,"posted","Digital Purchase","",false,,"regular","Apple Card",,,
"2021-01-08","Deposit",-0.67,"posted","","",false,,"income","Apple Cash",,,
"2021-01-08","Deposit",-0.5,"posted","","",false,,"income","Apple Cash",,,
"2021-01-08","7-eleven",4.79,"posted","Car","Car & Transport",false,,"regular","Apple Card",,,
"2021-01-09","Deposit",-0.33,"posted","","",false,,"income","Apple Cash",,,
"2021-01-10","Deposit",-0.1,"posted","","",false,,"income","Apple Cash",,,
"2021-01-10","Shell",6.2,"posted","Car","Car & Transport",false,,"regular","Apple Card",,,
"2021-01-11","Deposit",-0.06,"posted","","",false,,"income","Apple Cash",,,
"2021-01-11","Apple",0,"pending","Digital Purchase","",false,,"regular","Apple Card",,,
"2021-01-11","7-eleven",23.14,"posted","Car","Car & Transport",false,,"regular","Apple Card",,,
"2021-01-11","Apple",0,"pending","Shops","Shopping",false,,"regular","Apple Card",,,
"2021-01-11","Grubhub",62,"posted","Restaurants","",false,,"regular","Apple Card",,,
"2021-01-11","Central Co-op",8.97,"posted","Groceries","",false,,"regular","Apple Card",,,
"2021-01-12","Deposit",-0.46,"posted","","",false,,"income","Apple Cash",,,
"2021-01-12","Deposit",-0.09,"posted","","",false,,"income","Apple Cash",,,
"2021-01-12","Central Co-op",23.27,"posted","Groceries","",false,,"regular","Apple Card",,,
